Energy(eV),eps1,eps2,n,kappa,alpha(cm^-1)
1.000000000000000021e-03,2.042239122312521216e+18,8.596499528937181250e+14,1.429069351982858896e+09,3.007726502459956100e+05,3.048469598330648616e+07
8.342028218646470317e-03,2.041748114767171328e+18,8.913880777640718750e+14,1.428897551281372547e+09,3.119146215489103924e+05,2.637247648859034479e+08
1.568405643729293975e-02,2.041690105077784064e+18,9.067103287333912500e+14,1.428877253561278343e+09,3.172806924853764358e+05,5.043657262549958229e+08
2.302608465593941264e-02,2.041738121809191936e+18,9.274375572455340000e+14,1.428894057349535465e+09,3.245298531722467160e+05,7.573877489747093916e+08
3.036811287458588207e-02,2.042020504038462976e+18,9.543547352155071250e+14,1.428992867562606335e+09,3.339256469096076908e+05,1.027805900610224009e+09
3.771014109323235497e-02,2.042377415134790144e+18,9.878692019557853750e+14,1.429117746929688454e+09,3.456220468893731013e+05,1.321000922507294893e+09
4.505216931187882440e-02,2.042920646429999616e+18,1.029385743146219000e+15,1.429307796138247252e+09,3.600993942788573913e+05,1.644302147869976521e+09
5.239419753052529383e-02,2.043532879321679616e+18,1.080117811814799625e+15,1.429521955776427031e+09,3.777898644696546253e+05,2.006212911190217733e+09
5.973622574917176326e-02,2.044324365090377216e+18,1.142222524818943500e+15,1.429798770680149794e+09,3.994347136842265027e+05,2.418394300442639828e+09
6.707825396781823268e-02,2.045179801098773248e+18,1.216479999621765500e+15,1.430097892450157404e+09,4.253135417924051872e+05,2.891575163556275368e+09
7.442028218646470905e-02,2.046222827209913088e+18,1.305904626761247250e+15,1.430462525048387051e+09,4.564623692354058730e+05,3.443022162275612831e+09
8.176231040511117154e-02,2.047322609580579328e+18,1.413479726138727000e+15,1.430846900806849241e+09,4.939311555591527722e+05,4.093201283506843567e+09
8.910433862375764791e-02,2.048628390311143168e+18,1.542778985795681000e+15,1.431303140767080784e+09,5.389420807470873697e+05,4.867259163356967926e+09
