Energy(eV),OscStrength
4.402621288886884171e-02,5.034796488078837854e-08
4.416024384944593900e-02,2.631660584482813500e-10
4.423587439745467476e-02,1.924857828646936545e-11
4.437116581461902909e-02,5.535217788530642722e-08
8.952567345889135553e-02,1.393090386232593249e-06
8.973730798461550251e-02,1.384204701347694981e-06
1.168073508387840603e-01,2.624161366920199157e-04
1.175432242489099083e-01,6.214740358336433596e-08
1.176788391688107505e-01,3.445959921577888393e-08
1.879761554415234348e-01,2.391275354767741495e-07
1.889511333673260518e-01,1.381298607409644526e-08
1.891613578344537860e-01,1.219039959674814982e-08
1.904959449390760950e-01,2.605419683705774118e-07
1.975342600960793282e-01,3.690543185937321757e-09
2.576707897201528930e-01,8.714097266971365750e-08
2.604947645700045333e-01,1.528714041928884894e-07
2.645243362128054110e-01,9.230183600867161798e-06
3.056780915687390965e-01,1.554162747584339856e-05
3.081217882418024190e-01,1.104271604361966477e-05
3.136522811405469402e-01,2.568498421398937742e-07
3.591197160625113627e-01,6.283089012025913688e-05
3.592516241429122292e-01,6.426896682648920440e-05
3.739420421818390738e-01,1.064042314451460799e-06
3.766945285472072524e-01,4.559318447886630590e-07
3.774660002618384635e-01,2.617200420363772644e-06
3.787788624032288332e-01,2.880901744829635945e-05
3.799721618940626322e-01,4.456435270198389147e-06
3.839324747996300524e-01,4.597675643537575105e-05
3.872287626437738717e-01,1.679638049685398985e-06
3.875948687963732264e-01,6.297586448803191825e-06
3.933890329942076880e-01,2.217165372851365775e-03
3.970929869679430402e-01,3.056277619969899404e-06
3.995163760948159393e-01,7.988341201496303799e-06
4.013638668841835733e-01,1.098837007609853103e-02
4.017120922495306945e-01,1.117386046822558057e-02
4.034833130843884508e-01,1.071525078511227317e-06
4.036939248093195376e-01,1.073011275263386447e-06
4.212025443379418532e-01,1.385659050790653193e-05
4.214499592509085013e-01,4.784891523277737594e-05
4.237880664817600396e-01,3.008815689260045751e-05
4.238963460228936109e-01,3.819123462281436877e-05
4.307634070044115693e-01,4.655178222280384113e-07
4.309065006526995867e-01,5.610314534358397095e-07
4.472304508765312381e-01,8.347844011518036480e-07
4.484897524731455420e-01,8.656228035486438030e-05
4.500878276269711376e-01,1.683316328780048505e-06
4.527272492662788306e-01,5.910180012938348430e-04
4.545632343141779996e-01,3.651405574368920849e-07
4.549210601051008607e-01,9.692700595315200554e-07
4.909319363733836705e-01,7.079543781005048357e-06
4.910222412366054834e-01,4.145123018024097861e-06
4.937097152938928479e-01,1.922422477100245202e-06
4.938926659134950659e-01,9.146754984211065791e-06
4.979354056457608313e-01,4.610043807742955911e-05
4.980762659906380896e-01,4.983184488981824825e-05
5.132380039112771630e-01,5.348200445869066517e-06
5.156619471406420629e-01,5.770318404895539028e-06
5.585670309025956293e-01,4.027431237405330183e-02
5.635632299950507074e-01,9.686977857274511731e-05
5.863278821664102969e-01,3.115241545343523362e-05
5.868840887915266480e-01,9.660346600943967325e-04
5.886465627824275515e-01,2.408711691705974167e-05
5.898077244337319724e-01,2.761184796197657578e-03
6.155124258313469099e-01,5.045046741022254488e-04
6.156712206154899558e-01,4.994791385621294823e-04
6.301696458702037429e-01,8.736090523549492508e-05
6.302840470134059014e-01,3.906463657557525621e-05
6.325486392521399992e-01,9.781404158009420814e-05
6.327811570310722944e-01,1.307372217715724082e-05
6.592655509247987711e-01,9.183672999009603950e-11
6.593364779818132737e-01,1.166930184994676732e-05
6.594758192379456263e-01,3.026581260022513746e-11
6.620632951991420878e-01,4.421832033887930762e-04
6.635170386972064627e-01,9.445778767719000023e-05
6.647887170445655469e-01,6.106628589757822018e-04
6.817655531222179821e-01,2.753262982878873499e-02
7.037700411746369289e-01,7.098091990656605232e-10
7.039802966587103139e-01,1.189468963079577468e-07
7.062165843293711776e-01,3.174649909793123168e-07
7.064268727385961677e-01,1.437117853267364985e-07
7.088674818423489343e-01,5.650013246488331392e-02
7.336461461996550693e-01,4.502271833748981494e-04
7.526730037392109773e-01,4.860759555140372038e-07
7.528849267237164300e-01,4.947915410507777496e-07
7.619051864314789757e-01,3.507322720424927830e-05
7.637288693783693683e-01,3.024317840049695928e-04
7.640299506598491330e-01,2.266572407662529719e-04
7.772768050645580962e-01,3.381732299224485475e-09
7.792927110693755877e-01,6.504667416891056833e-04
7.797260042672706781e-01,5.297965494368153036e-06
7.973921199326933218e-01,7.600162493268957406e-05
7.974985787679172988e-01,8.395468740876348612e-05
8.058117847626402597e-01,3.858663679152220052e-10
8.060220553845928171e-01,4.450555639979903233e-09
8.073180498835134111e-01,5.809967231923786992e-10
8.075283237268452430e-01,1.946863268241660025e-09
8.546844269991540344e-01,2.533816677702651552e-07
8.752094217754219363e-01,7.557408902996598120e-05
8.763975911812709185e-01,4.557093671911901839e-05
8.793220203563021364e-01,6.397522860487409736e-10
8.808288011769307424e-01,4.809115148544248541e-08
9.120515723790331153e-01,5.670891363492431392e-06
9.143499119162756816e-01,8.135353194625058969e-06
9.366104026942734251e-01,1.838622173285160786e-03
9.374651924944890080e-01,1.670134635227678820e-03
9.415441144013958485e-01,3.040080218379952052e-04
9.429054876981468603e-01,3.024088575751154081e-04
1.022605841645874536e+00,9.048423797640316527e-03
1.036658586231814283e+00,3.592020002442584569e-07
1.037190387642729750e+00,3.956443623182734283e-05
1.039176384442611401e+00,5.278788488878100557e-07
1.039714039876068918e+00,5.354907832614490853e-06
1.046230358789300041e+00,8.657162189701168048e-08
1.063316505240059939e+00,1.916670109080524135e-06
1.080251786870657149e+00,4.083230006442589385e-05
1.080650329943533938e+00,7.928178247735255405e-05
1.080858793063610213e+00,3.451472085915376828e-06
1.083300156645095491e+00,7.017847154390724776e-07
1.083374422688264893e+00,6.971655658902994904e-07
1.085822485430234074e+00,2.992072142445320020e-06
1.090438537290642884e+00,3.561883279937275473e-07
1.092081327611289288e+00,1.997064313270927239e-05
1.092888005166604115e+00,1.071322419323983459e-06
1.094320298719246187e+00,2.647399764709287471e-04
1.095496421277275312e+00,2.236886969588787835e-04
1.100808857313236411e+00,1.456308702468802545e-04
1.106347356199285370e+00,3.224379080266279970e-06
1.109173820919617137e+00,3.911227911877318667e-06
1.113363367131784853e+00,1.647364863598304913e-05
1.123039071204654737e+00,1.629831454090586793e-09
1.123249336702909496e+00,1.480961088131687391e-09
1.136423267444214069e+00,2.889462066736860647e-08
1.136633535120560312e+00,2.214633649723335049e-08
1.137013668343058059e+00,2.716432409664344335e-08
1.137223924283649490e+00,1.901488249984245101e-08
1.137600281064877095e+00,6.081225645753857189e-12
1.139340351710477650e+00,1.804146434636226233e-08
1.139550624579170002e+00,2.589227416525969399e-08
1.150562566304817791e+00,9.091636354908211031e-07
1.153013435058566127e+00,6.130836465719583559e-06
1.153390914220806973e+00,5.800221959279162259e-06
1.155834227391907776e+00,1.210701878558093219e-06
1.157408197590252152e+00,1.241939863625123227e-07
1.159854398942109732e+00,2.020797236527381555e-08
1.181939484629961568e+00,5.680647289116747076e-08
1.182904294156301717e+00,8.676323963439285734e-06
1.184368118544918191e+00,9.768793994063500938e-08
1.184404959009510261e+00,2.457578258437482030e-06
1.185418729991907449e+00,3.995835724789329171e-06
1.186931270388480231e+00,8.618580985088351366e-06
1.192481025833964425e+00,9.536117905992870950e-08
1.193986797810101308e+00,3.442213913688662896e-07
1.196631808735542091e+00,6.142770505145808524e-10
1.200530755315812215e+00,2.550551654835226529e-09
1.200586390443774132e+00,2.423406904483042077e-09
1.209441719032222640e+00,6.337580954825769225e-04
1.210516031545075144e+00,2.051131981205831303e-05
1.211067964790376816e+00,1.112131833503703050e-03
1.212846479270748068e+00,5.368834016625211002e-06
1.222883287932306606e+00,2.575137307275502677e-10
1.230374627308489899e+00,9.692608889448148940e-04
1.232497201288559108e+00,1.507852301257061461e-03
1.244505952624902489e+00,8.059605461071273690e-06
1.246913657101674344e+00,9.315403892978772754e-06
1.252606572510981398e+00,2.115881569591390243e-06
1.254132013585851801e+00,2.034961170301342859e-05
1.254794893063546635e+00,4.552905721529309412e-09
1.255005172495120336e+00,1.160153451992927650e-08
1.255448612451725010e+00,2.140812710415036796e-05
1.256937164853953348e+00,2.351100065254765012e-06
1.259442770546704615e+00,1.078168032305288654e-06
1.260950623547948624e+00,1.430541948890775657e-06
1.275856718323731487e+00,3.856079527050496903e-08
1.276067093014914944e+00,7.125279394470181637e-09
1.279891724013415111e+00,4.516163813407296718e-04
1.289894343612006722e+00,4.519294741666214346e-07
1.292317196220087228e+00,1.669475428772821350e-07
1.292336888100020342e+00,2.409576448286665053e-07
1.294768021491375265e+00,7.049369314608292766e-07
1.297559373270976257e+00,2.911099858096683281e-07
1.299989346725360262e+00,2.902494729328576462e-07
1.328287197907007888e+00,6.885914074656274630e-05
1.329054390055014911e+00,5.312488001752063477e-05
1.329395988813316443e+00,3.530046139824200512e-04
1.333059003843627188e+00,5.791007248642508738e-07
1.335219312144532156e+00,3.877624962525001717e-02
1.335651076489256628e+00,2.351086233242801165e-04
1.338182139841813001e+00,3.989203514414302321e-02
1.338608209785331571e+00,8.028990734527171887e-07
1.349378190866196370e+00,2.557668440642505789e-05
1.370781719300484536e+00,6.717797076174093960e-09
1.370916315761374848e+00,1.083475085976633321e-09
1.371057097169939620e+00,2.546626977298612217e-05
1.371197514121341277e+00,2.017314867993786294e-05
1.373399098484761494e+00,5.890464277650709857e-06
1.373720627818502349e+00,3.962343285288527915e-05
1.374236144589610742e+00,3.802991076373369358e-04
1.374630071196881964e+00,3.847469914958628195e-08
1.374840333628963185e+00,1.875572125324723049e-08
1.376975484539266326e+00,2.366151348823000797e-03
1.379181103819547172e+00,3.329155610648506462e-03
1.380739037226960120e+00,2.688782508074210979e-03
1.389666424105237885e+00,1.464655939060859607e-10
1.391948185287353423e+00,1.684105287751723522e-05
1.393441976169606189e+00,4.867282385034345407e-06
1.394360984514993573e+00,2.774994227172486854e-06
1.395880935421129232e+00,1.872012163393586102e-05
1.401290682350275763e+00,2.114484933814930948e-07
1.401296348806733372e+00,2.217976618751310151e-07
1.411330526244855221e+00,1.117335661517688617e-03
1.411873399466903933e+00,2.148446369741186448e-05
1.412092869913779358e+00,2.156392616189168921e-05
1.415161057303729875e+00,2.339273316391649876e-05
1.415394565432621876e+00,3.388436978152281490e-05
1.417668103691964721e+00,2.311337589744104305e-05
1.417751731594542708e+00,2.913674765666991257e-05
1.418646397279605953e+00,4.707988929202611935e-09
1.418856669465954790e+00,1.690727015792541858e-09
1.421975890881530091e+00,5.010261395064687731e-09
1.422186179391198735e+00,6.917692716992282414e-09
1.433713205377326494e+00,1.244528602434693284e-07
1.433768792799724912e+00,6.564297290671003672e-08
1.433813197792019878e+00,1.597673324643429705e-06
1.433847806282555704e+00,1.058426579846823294e-07
1.433903454801554345e+00,1.298497886243852681e-07
1.448141840257827218e+00,8.252900107508721921e-07
1.448452109617965000e+00,1.214628702587947591e-05
1.451038077673050264e+00,1.086770059613908724e-05
1.456120913156546681e+00,1.108496435534751574e-05
1.456225424371587085e+00,1.129982773131897231e-04
1.456249657457294067e+00,2.154882410435390860e-06
1.458698497503584823e+00,1.686251833675938877e-04
1.487621941346347620e+00,1.079276733805040363e-02
1.492100662073372330e+00,6.291730077839743267e-04
1.495192132826188569e+00,3.843482874668901605e-03
1.497008631759518593e+00,2.368321006072471313e-02
1.498898229367368717e+00,1.925849129513720198e-02
1.500108084308789280e+00,3.189997713511792590e-04
1.502613008677282203e+00,6.370486553470622922e-05
1.509780538542667916e+00,2.468242820031103540e-09
1.514114475397256410e+00,2.123648065372353967e-05
1.516428693967037278e+00,1.170024880346191281e-05
1.516621703413122413e+00,1.248928409492425028e-05
1.518954457028171445e+00,1.678554792956760627e-05
1.520767900259765160e+00,2.172629824083692485e-03
1.522020546829322862e+00,3.121932484384804923e-05
1.522542836539535260e+00,1.271685412816073038e-03
1.523693446878709112e+00,4.456537921368943243e-06
1.524755158598353200e+00,1.341317156194038300e-04
1.525092604845348809e+00,2.557947970463083677e-03
1.526020925513507098e+00,8.559554666226943259e-07
1.539716443368464915e+00,4.658623634717001111e-02
1.549807655169340270e+00,7.879365569015947849e-05
1.550053077735076279e+00,4.721005926549849121e-05
1.550122138155688445e+00,5.509856935683273742e-05
1.559417184672574841e+00,3.760006637229129254e-04
1.560906075807739546e+00,3.326520165856262229e-04
1.566252077920002650e+00,1.339923275410261354e-04
1.566364375813183996e+00,4.712012950781350665e-05
1.568817473638684623e+00,2.257116830666578230e-05
1.568975925478943045e+00,1.367787320793044012e-04
1.569825962291200527e+00,3.340582069146448510e-06
1.572611448669373191e+00,7.428851103299295185e-06
1.576574107542298098e+00,2.744248817472282379e-04
1.583814737747512247e+00,8.366726485007424368e-07
1.586145102553124797e+00,1.572013353177458054e-06
1.586645456268493071e+00,1.579906025777683657e-06
1.588964411417495226e+00,4.389858784271281875e-07
1.590602594909501954e+00,5.290214157904785200e-05
1.591155958037076434e+00,2.016667325355582865e-02
1.592936120229147656e+00,1.994032244166425244e-05
1.622818698514464808e+00,1.850129242350950593e-06
1.623028842391355475e+00,1.415326421613812427e-06
1.631848426712379174e+00,3.483297691047353075e-05
1.634380205332423674e+00,1.157672364941454150e-05
1.641463185905243094e+00,2.061189343568043001e-06
1.652887074161749847e+00,2.543587649867969983e-05
1.655429259074783443e+00,2.307176603645531404e-05
1.662493137073229876e+00,4.058019338764522195e-06
1.666957190931080302e+00,1.584252826530152327e-05
1.667090142388605534e+00,1.083111082355732261e-06
1.673710995025189163e+00,8.951295874703054517e-03
1.675131481803553202e+00,2.400709893129513925e-03
1.687735385329320215e+00,4.310419094644385440e-03
1.690593098061532684e+00,4.624895252613184238e-03
1.700117781612743517e+00,7.620003265990151755e-04
1.700150526847492349e+00,3.237498601756066529e-04
1.701669070466325984e+00,1.328700948941611258e-05
1.704455605196752987e+00,3.052684684251950308e-06
1.708428169265093555e+00,2.412913547274799856e-06
1.714289682727715647e+00,9.667201203073842947e-04
1.715942343590036723e+00,7.771038778381135232e-04
1.720109688747682997e+00,3.043052638272675909e-08
1.720319993769286349e+00,1.168049803176510132e-07
1.722694294457888686e+00,8.633960133488665121e-06
1.723039867628223032e+00,2.896472908629714986e-05
1.725422811301274173e+00,5.937588069241342577e-05
1.725507639498693901e+00,3.236269477811368164e-06
1.725789176621573828e+00,5.191670058728503948e-05
1.726871642965425835e+00,2.076556627339050734e-03
1.727956061823942679e+00,3.479946998128049434e-04
1.729510531883643010e+00,3.609904052857650326e-06
